:START_ID(Station),:END_ID(Station),:TYPE
1,2,武汉1路
2,1,武汉1路
2,3,武汉1路
3,2,武汉1路
3,4,武汉1路
4,3,武汉1路
4,5,武汉1路
5,4,武汉1路
5,6,武汉1路
6,5,武汉1路
6,7,武汉1路
7,6,武汉1路
7,8,武汉1路
8,7,武汉1路
8,9,武汉1路
9,8,武汉1路
9,10,武汉1路
10,9,武汉1路
10,11,武汉1路
11,10,武汉1路
11,12,武汉1路
12,11,武汉1路
12,13,武汉1路
13,12,武汉1路
13,14,武汉1路
14,13,武汉1路
14,15,武汉1路
15,14,武汉1路
15,16,武汉1路
16,15,武汉1路
16,17,武汉1路
17,16,武汉1路
17,18,武汉1路
18,17,武汉1路
18,19,武汉1路
19,18,武汉1路
20,21,武汉11号线
21,20,武汉11号线
21,22,武汉11号线
22,21,武汉11号线
22,23,武汉11号线
23,22,武汉11号线
23,24,武汉11号线
24,23,武汉11号线
24,25,武汉11号线
25,24,武汉11号线
25,26,武汉11号线
26,25,武汉11号线
26,27,武汉11号线
27,26,武汉11号线
27,28,武汉11号线
28,27,武汉11号线
28,29,武汉11号线
29,28,武汉11号线
29,30,武汉11号线
30,29,武汉11号线
30,31,武汉11号线
31,30,武汉11号线
31,32,武汉11号线
32,31,武汉11号线
33,34,武汉113路
34,33,武汉113路
34,35,武汉113路
35,34,武汉113路
35,36,武汉113路
36,35,武汉113路
36,37,武汉113路
37,36,武汉113路
37,38,武汉113路
38,37,武汉113路
38,39,武汉113路
39,38,武汉113路
39,40,武汉113路
40,39,武汉113路
40,41,武汉113路
41,40,武汉113路
41,42,武汉113路
42,41,武汉113路
42,43,武汉113路
43,42,武汉113路
44,45,武汉115路
45,44,武汉115路
45,46,武汉115路
46,45,武汉115路
46,47,武汉115路
47,46,武汉115路
47,48,武汉115路
48,47,武汉115路
49,50,武汉107路
50,49,武汉107路
50,51,武汉107路
51,50,武汉107路
51,52,武汉107路
52,51,武汉107路
52,53,武汉107路
53,52,武汉107路
53,54,武汉107路
54,53,武汉107路
54,55,武汉107路
55,54,武汉107路
55,56,武汉107路
56,55,武汉107路
